"N","instance_id","label","node_id","total_success","success_rate","label_freq_rank","definition","raw_image_breadth","norm_image_breadth","num_imgs","min_img","max_img","num_adopters","prop_adopters"
2,406,"kiss",14221,20,1,2,"Two lovers",2357,2357,10,995,1168,2,1
2,406,"kiss",14774,20,1,2,"two heads together",2357,2357,10,995,1168,2,1
2,407,"blowup",14930,22,1,1,"shape below with ball above",2279,2279,11,1,142,2,1
2,407,"blowup",14961,22,1,1,"As in putting air into a balloon or tire.",2279,2279,11,1,142,2,1
2,407,"boxer",14930,18,1,2,"torso with arms and legs, something on hands",6253,2718,9,624,892,2,1
2,407,"boxer",14961,18,1,2,"Someone who has on gloves and fights",6253,2718,9,624,892,2,1
2,407,"kickb",14930,16,1,3,"kicking a ball",3755,3755,8,1311,1486,2,1
2,407,"kickb",14961,16,1,3,"Kickball",3755,3755,8,1311,1486,2,1
2,409,"crab",38168,20,1,1,"Squatty with big arms",3106,3106,10,488,665,2,1
2,409,"crab",38205,20,1,1,"seafood with multiple legs",3106,3106,10,488,665,2,1
2,409,"win",38168,8,1,3,"Arms up high",232,232,4,760,796,2,1
2,409,"win",38205,8,1,3,"excited",232,232,4,760,796,2,1
2,409,"woman",38168,10,1,2,"Curvy, full",574,574,5,1015,1084,2,1
2,409,"woman",38205,10,1,2,"medium to long hair, wider hips",574,574,5,1015,1084,2,1
24,708,"crab",65166,154,0.916666667,2,"A crustacean with six legs and claws",5588,3541,65,453,844,24,1
24,708,"crab",65301,154,0.916666667,2,"wide and short stretched out X with a dot on the top",5588,3541,65,453,844,24,1
24,708,"crab",65238,154,0.916666667,2,"A crab is a crustacean that is small with pincers and small legs.",5588,3541,65,453,844,24,1
24,708,"crab",64237,154,0.916666667,2,"A wide creature with pincers.",5588,3541,65,453,844,24,1
24,708,"crab",65456,154,0.916666667,2,"a low lying figure with identifiable head, legs, and arms.",5588,3541,65,453,844,24,1
24,708,"crab",65039,154,0.916666667,2,"the shape looked like a crab walking",5588,3541,65,453,844,24,1
24,708,"crab",64249,154,0.916666667,2,"A crustacean with legs and pincers.",5588,3541,65,453,844,24,1
24,708,"crab",65470,154,0.916666667,2,"A crustaceus creature",5588,3541,65,453,844,24,1
24,708,"crab",70302,154,0.916666667,2,"A SMALL CLUSTERED CREATURE",5588,3541,65,453,844,24,1
24,708,"crab",64311,154,0.916666667,2,"crawl arms up",5588,3541,65,453,844,24,1
24,708,"crab",65595,154,0.916666667,2,"Has two claws.",5588,3541,65,453,844,24,1
24,708,"crab",70411,154,0.916666667,2,"Claws",5588,3541,65,453,844,24,1
24,708,"crab",64501,154,0.916666667,2,"A short, relatively flat, wide crustacean with a bunch of limbs.",5588,3541,65,453,844,24,1
24,708,"crab",65801,154,0.916666667,2,"Two hammer sticks protruding on either end, squatting down.",5588,3541,65,453,844,24,1
24,708,"crab",71776,154,0.916666667,2,"crawling",5588,3541,65,453,844,24,1
24,708,"crab",64852,154,0.916666667,2,"wide with short back legs and wider front legs",5588,3541,65,453,844,24,1
24,708,"crab",65913,154,0.916666667,2,"Something you get if you don't pick your sexual partners carefully. Also an animal that hangs around beaches and that people eat.",5588,3541,65,453,844,24,1
24,708,"crab",72284,154,0.916666667,2,"crustacean",5588,3541,65,453,844,24,1
24,708,"crab",68876,154,0.916666667,2,"Low creature",5588,3541,65,453,844,24,1
24,708,"crab",66215,154,0.916666667,2,"A crustacean species that can live in water and outside of it, which scuttles sideways.",5588,3541,65,453,844,24,1
24,708,"crab",72311,154,0.916666667,2,"Low to the ground, creeping along with a head",5588,3541,65,453,844,24,1
24,708,"crab",66326,154,0.916666667,2,"crustacean with multiple legs and pincers",5588,3541,65,453,844,24,1
24,708,"crab",66229,154,0.916666667,2,"a hard shelled creature with pinchers that walks and lives in/near water",5588,3541,65,453,844,24,1
24,708,"crab",66503,154,0.916666667,2,"delicious crustacean",5588,3541,65,453,844,24,1
24,708,"frog",64237,156,0.917647059,1,"A creature that jumps around and has a strange face.",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",68876,156,0.917647059,1,"Amphibious creature. Big v",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",66215,156,0.917647059,1,"An amphibian species that breathes through its skin and lives near/in water",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",64249,156,0.917647059,1,"An amphibian with legs and arms.",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",70302,156,0.917647059,1,"A SMALL CROUCHING CREATURE",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",66229,156,0.917647059,1,"an amphibious creature that hops",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",64311,156,0.917647059,1,"jump frog",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",70411,156,0.917647059,1,"Amphibian",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",66326,156,0.917647059,1,"amphibian with four arms",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",64501,156,0.917647059,1,"A short amphibian with 4 long limbs.",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",71776,156,0.917647059,1,"looks like ready to jump",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",66503,156,0.917647059,1,"a green amphibian known for hopping",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",64852,156,0.917647059,1,"wide with legs all apart",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",72284,156,0.917647059,1,"an amphibian",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65456,156,0.917647059,1,"a figure with identifiable head, legs, and arms",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65039,156,0.917647059,1,"the shape looked like a frog",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",72311,156,0.917647059,1,"Four spread out legs with a body looking like it's jumping",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65470,156,0.917647059,1,"A small hopping animal",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65166,156,0.917647059,1,"An amphibian",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65801,156,0.917647059,1,"A big mouth looking creature.",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65595,156,0.917647059,1,"Has two front feet, two back feet.",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65238,156,0.917647059,1,"A frog is a very small amphibian that has a small body and somewhat long legs.",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65913,156,0.917647059,1,"An amphibious animal.",4208,1513,67,614,937,22,0.916666666666667
24,708,"frog",65301,156,0.917647059,1,"looks like an non-uniform x , fluid shape",4208,1513,67,614,937,22,0.916666666666667
24,708,"whale",66229,60,0.909090909,3,"a large mammal that lives in the ocean and swims",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65470,60,0.909090909,3,"A sea animal",1401,1401,27,1051,1173,18,0.75
24,708,"whale",66326,60,0.909090909,3,"giant fish",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65801,60,0.909090909,3,"Two fins on each side with a blowhole in the middle.",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65595,60,0.909090909,3,"Has a torpedo head and a tail",1401,1401,27,1051,1173,18,0.75
24,708,"whale",66503,60,0.909090909,3,"a giant water mammal",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65913,60,0.909090909,3,"The average Walmart shopper. Also the world's biggest mammal, and they live in the sea.",1401,1401,27,1051,1173,18,0.75
24,708,"whale",64237,60,0.909090909,3,"A oval-shaped creature with fins.",1401,1401,27,1051,1173,18,0.75
24,708,"whale",68876,60,0.909090909,3,"Fat shape",1401,1401,27,1051,1173,18,0.75
24,708,"whale",66215,60,0.909090909,3,"A mammal species that lives online in large bodies of water (ocean) and is long lived",1401,1401,27,1051,1173,18,0.75
24,708,"whale",64249,60,0.909090909,3,"A large aquatic mammal.",1401,1401,27,1051,1173,18,0.75
24,708,"whale",70302,60,0.909090909,3,"IT LOOKS LIKE A WHALE VIEWED FROM A SKYLINE PERSPECTIVE",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65166,60,0.909090909,3,"A large sea mammal",1401,1401,27,1051,1173,18,0.75
24,708,"whale",64311,60,0.909090909,3,"white slit rounded",1401,1401,27,1051,1173,18,0.75
24,708,"whale",70411,60,0.909090909,3,"Huge aqua marine mammal",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65238,60,0.909090909,3,"A whale is simply a large mammal with a blowhole and a big fin.",1401,1401,27,1051,1173,18,0.75
24,708,"whale",64501,60,0.909090909,3,"A huge ocean mammal with a long bulky body and fins.",1401,1401,27,1051,1173,18,0.75
24,708,"whale",71776,60,0.909090909,3,"wide fish like",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65301,60,0.909090909,3,"oval shape on top, with two side fins and narrowing towards the bottom with white drop shape on top of head",1401,1401,27,1051,1173,18,0.75
24,708,"whale",64852,60,0.909090909,3,"a blob with a fan on the end",1401,1401,27,1051,1173,18,0.75
24,708,"whale",72284,60,0.909090909,3,"large mammal swims in ocean",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65456,60,0.909090909,3,"a shape that looks like a big fish and is symmetrical on both sides",1401,1401,27,1051,1173,18,0.75
24,708,"whale",65039,60,0.909090909,3,"the shape looked like a large whale",1401,1401,27,1051,1173,18,0.75
24,708,"whale",72311,60,0.909090909,3,"A big fat underwater huge fish-like mammal",1401,1401,27,1051,1173,18,0.75
24,716,"bunny",65780,86,0.767857143,3,"Rabbit. Hopping animal",44816,44816,41,754,1421,24,1
24,716,"bunny",68958,86,0.767857143,3,"two feet two long ears",44816,44816,41,754,1421,24,1
24,716,"bunny",68868,86,0.767857143,3,"Big ears",44816,44816,41,754,1421,24,1
24,716,"bunny",66228,86,0.767857143,3,"Tall ears on a body shape.",44816,44816,41,754,1421,24,1
24,716,"bunny",69578,86,0.767857143,3,"a long earred rabbit",44816,44816,41,754,1421,24,1
24,716,"bunny",66585,86,0.767857143,3,"long ears on the head",44816,44816,41,754,1421,24,1
24,716,"bunny",66386,86,0.767857143,3,"a bunny has floppy ears and hops to get around",44816,44816,41,754,1421,24,1
24,716,"bunny",69756,86,0.767857143,3,"rabbit face",44816,44816,41,754,1421,24,1
24,716,"bunny",66758,86,0.767857143,3,"Big ears and fluffy",44816,44816,41,754,1421,24,1
24,716,"bunny",64393,86,0.767857143,3,"fluffy",44816,44816,41,754,1421,24,1
24,716,"bunny",70108,86,0.767857143,3,"Big feet and big ears",44816,44816,41,754,1421,24,1
24,716,"bunny",65299,86,0.767857143,3,"a small mammal with big ears",44816,44816,41,754,1421,24,1
24,716,"bunny",64645,86,0.767857143,3,"Tall ears",44816,44816,41,754,1421,24,1
24,716,"bunny",70786,86,0.767857143,3,"A bunny is a mammal with long ears and powerful hind legs.",44816,44816,41,754,1421,24,1
24,716,"bunny",65565,86,0.767857143,3,"SMALL RABBIT",44816,44816,41,754,1421,24,1
24,716,"bunny",64839,86,0.767857143,3,"A small mammal with long ears and a small tail.",44816,44816,41,754,1421,24,1
24,716,"bunny",72219,86,0.767857143,3,"two ears up",44816,44816,41,754,1421,24,1
24,716,"bunny",65672,86,0.767857143,3,"A furry little animal with two long ears",44816,44816,41,754,1421,24,1
24,716,"bunny",65075,86,0.767857143,3,"Bunny is arms and legs spread apart",44816,44816,41,754,1421,24,1
24,716,"bunny",72254,86,0.767857143,3,"Having two big ears, two long legs, two small arms and a round nose.",44816,44816,41,754,1421,24,1
24,716,"bunny",65698,86,0.767857143,3,"Tall ears",44816,44816,41,754,1421,24,1
24,716,"bunny",65203,86,0.767857143,3,"bunny rabbit ears",44816,44816,41,754,1421,24,1
24,716,"bunny",72342,86,0.767857143,3,"A bunny has big feet and big floppy ears.",44816,44816,41,754,1421,24,1
24,716,"crab",64393,244,0.853146853,1,"a crab is usually what is found in the ocean",11289,8344,104,144,889,24,1
24,716,"crab",70108,244,0.853146853,1,"Crouched with pinchers",11289,8344,104,144,889,24,1
24,716,"crab",68868,244,0.853146853,1,"Claws and crabby looking",11289,8344,104,144,889,24,1
24,716,"crab",64645,244,0.853146853,1,"A squat animal",11289,8344,104,144,889,24,1
24,716,"crab",70786,244,0.853146853,1,"A crab is an animal with two eyes on stalks, two claws, and 8 legs",11289,8344,104,144,889,24,1
24,716,"crab",68958,244,0.853146853,1,"a living object with legs",11289,8344,104,144,889,24,1
24,716,"crab",64839,244,0.853146853,1,"A small animal that lives on the beaches. It has claws and small legs.",11289,8344,104,144,889,24,1
24,716,"crab",72219,244,0.853146853,1,"squat shape with legs, claws, and eyes on stalks",11289,8344,104,144,889,24,1
24,716,"crab",69578,244,0.853146853,1,"a sea critter with pinchers",11289,8344,104,144,889,24,1
24,716,"crab",65075,244,0.853146853,1,"Crab is a small body connected between arms and legs with the arms raised",11289,8344,104,144,889,24,1
24,716,"crab",72254,244,0.853146853,1,"Having two big claws that stick up and 6 legs.",11289,8344,104,144,889,24,1
24,716,"crab",69756,244,0.853146853,1,"shaped like a crab",11289,8344,104,144,889,24,1
24,716,"crab",65203,244,0.853146853,1,"4 legs",11289,8344,104,144,889,24,1
24,716,"crab",72342,244,0.853146853,1,"A crab has short legs, a definitive body, and pinchers.",11289,8344,104,144,889,24,1
24,716,"crab",65780,244,0.853146853,1,"Sea creature",11289,8344,104,144,889,24,1
24,716,"crab",65299,244,0.853146853,1,"a sea creature",11289,8344,104,144,889,24,1
24,716,"crab",66386,244,0.853146853,1,"a crab is a small red sea animal with claws",11289,8344,104,144,889,24,1
24,716,"crab",66228,244,0.853146853,1,"Low with central head, extended claws upward and extended feet/appendages downward.",11289,8344,104,144,889,24,1
24,716,"crab",65565,244,0.853146853,1,"SEAFOOD THAT IS BLUE OR RED",11289,8344,104,144,889,24,1
24,716,"crab",66585,244,0.853146853,1,"legs spread out in different directions and head from above",11289,8344,104,144,889,24,1
24,716,"crab",65698,244,0.853146853,1,"Small squat",11289,8344,104,144,889,24,1
24,716,"crab",65672,244,0.853146853,1,"A flat, shelled sea creature with legs and it hold up two legs so that it looks like arms and hands",11289,8344,104,144,889,24,1
24,716,"crab",66758,244,0.853146853,1,"It has claws and a fat body.",11289,8344,104,144,889,24,1
24,716,"frog",65565,110,0.916666667,2,"AMPHIBIAN THAT IS GREEN",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",65299,110,0.916666667,2,"an amphibian",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",65698,110,0.916666667,2,"Long arms",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",65672,110,0.916666667,2,"A little green creature with four legs that hops",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",64393,110,0.916666667,2,"amphibian",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",65780,110,0.916666667,2,"Amphibious",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",70108,110,0.916666667,2,"Long legs and jumping",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",64645,110,0.916666667,2,"Limbs outstretched",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",66228,110,0.916666667,2,"Low with central head, extended appendages up and down.",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",70786,110,0.916666667,2,"A frog is an amphibian with two strong back legs and smaller arms.",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",64839,110,0.916666667,2,"An animal that is most commonly found near ponds and rivers. Though they can also be found in jungles.",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",66386,110,0.916666667,2,"a frog is amphibian that jumps or hops to get where its going",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",72219,110,0.916666667,2,"a flattened blob with four arms",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",65075,110,0.916666667,2,"Frog is a large surface area towards the bottom",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",66585,110,0.916666667,2,"legs spread apart in different directions, a frog in a jump",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",72254,110,0.916666667,2,"Having two powerful legs, a large torso and two small arms.",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",65203,110,0.916666667,2,"jumping in the air",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",66758,110,0.916666667,2,"Soft small being with broad upper body and narrow bottom portion",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",72342,110,0.916666667,2,"A frog has a good-sized body, hitched legs, and extended arms when it's being dissected.",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",68958,110,0.916666667,2,"a jumping object that may lay flat",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",68868,110,0.916666667,2,"Looks like a jumping frog",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",69756,110,0.916666667,2,"shaped like a frog",5758,2235,52,606,946,22,0.916666666666667
24,716,"frog",69578,110,0.916666667,2,"a hoppy creature thats fat",5758,2235,52,606,946,22,0.916666666666667
24,717,"couch",67155,82,0.891304348,3,"Like 'crab' but more flattened. Again, ignoring the ball on top.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",69462,82,0.891304348,3,"Very long and bulky",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",69460,82,0.891304348,3,"A cushioned long chair, for sitting.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",67179,82,0.891304348,3,"A long object one sits upon.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",69494,82,0.891304348,3,"a couh is something wide and long that you sit on.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",68885,82,0.891304348,3,"a furniture that supports sitting",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",68877,82,0.891304348,3,"A place to sit which is wider than tall and accommodates at least 3",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",69517,82,0.891304348,3,"long and flat",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",69450,82,0.891304348,3,"a seat",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",64268,82,0.891304348,3,"Couch is definitely the one for me that seemed to have legs at the bottom. There were two couch like shapes - one was more squared off like rectangle box shaped couch, while the other was more rounded but had a sun or ball in the center like it had three rounded back pieces and also what seemed to be furniture legs near the bottom.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",69811,82,0.891304348,3,"furniture that you sit on with multiple spots to sit",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",65796,82,0.891304348,3,"Wide and square",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",64434,82,0.891304348,3,"piece of furniture you can sit on",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",70261,82,0.891304348,3,"A long shape with two larger shapes on the ends",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",66376,82,0.891304348,3,"A cushioned sofa for sitting.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",64748,82,0.891304348,3,"a long piece of furniture you sit on",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",70354,82,0.891304348,3,"A couch is a soft, comfortable piece of furniture, which several people can sit on at the same time. It usually has cushions.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",66855,82,0.891304348,3,"Couch is a long, somewhat flat object that people sit on.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",64942,82,0.891304348,3,"a place to sit with a base and cushions to lean against",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",71999,82,0.891304348,3,"sit on.",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",66991,82,0.891304348,3,"Tiny legs. Longer shape and comfortable",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",65390,82,0.891304348,3,"is wide",2682,2682,39,297,564,22,0.916666666666667
24,717,"couch",72135,82,0.891304348,3,"a longer cushioned seating area",2682,2682,39,297,564,22,0.916666666666667
24,717,"crab",64268,128,0.927536232,1,"Crab is the one I probably referred to as ""goalie"" a lot of the time. It looks like something with limbs extended much like a crab has its pincher claws ready to explore the world.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",69811,128,0.927536232,1,"a sea creature with spiky legs",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",69460,128,0.927536232,1,"A crustacean with big pinchy hands.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",64434,128,0.927536232,1,"Crustacean found in the sea that you can eat.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",70261,128,0.927536232,1,"The animal on the beach",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",69462,128,0.927536232,1,"Two legs and two arms",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",64748,128,0.927536232,1,"many legs and pinchers",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",70354,128,0.927536232,1,"A crab is a crustacean which lives in the sea.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",69494,128,0.927536232,1,"a crab is an animal that is found on the beach and has claws.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",64942,128,0.927536232,1,"a little animal with a rounded body and pinchers",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",71999,128,0.927536232,1,"Animal",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",69517,128,0.927536232,1,"crouching or squatting with pinchers",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",65390,128,0.927536232,1,"Walks on all four",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",72135,128,0.927536232,1,"A crustacean with pincers",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",67155,128,0.927536232,1,"A crab facing the viewer with its claws raised and a ball on it's back that you can just ignore because the rest is so obvious.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",65796,128,0.927536232,1,"Wide and pointy.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",68877,128,0.927536232,1,"A crustacean with a wide body and pincers",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",67179,128,0.927536232,1,"A water creature with wide legs and claws pointed into the air.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",66376,128,0.927536232,1,"A marine arthropod with pincers.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",68885,128,0.927536232,1,"a crustacean with pincers, edible.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",66991,128,0.927536232,1,"Short and squatty with two pincers.",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",66855,128,0.927536232,1,"Crab is a creature from the sea and has many legs.  It is low to the ground and scuttles/shuffles along the surface",8522,5792,54,183,864,23,0.958333333333333
24,717,"crab",69450,128,0.927536232,1,"An edible animal",8522,5792,54,183,864,23,0.958333333333333
24,717,"frog",66376,86,0.86,2,"small aquatic amphibian.",4594,1613,40,600,877,18,0.75
24,717,"frog",65796,86,0.86,2,"Round with four ""limbs""",4594,1613,40,600,877,18,0.75
24,717,"frog",66991,86,0.86,2,"Skinny legs and arms looks like it's about to jump.",4594,1613,40,600,877,18,0.75
24,717,"frog",66855,86,0.86,2,"Frog is a four legged amphibian that likes water and to jump around.",4594,1613,40,600,877,18,0.75
24,717,"frog",64268,86,0.86,2,"Frog is probably what I called ""goalie"" or ""x man"" at times depending on my partner, but it would look like four rounded limbs with a round head.",4594,1613,40,600,877,18,0.75
24,717,"frog",67155,86,0.86,2,"Very similar to 'bunny' but wider with a more pronounced 'X' shape.",4594,1613,40,600,877,18,0.75
24,717,"frog",69811,86,0.86,2,"a slimy reptile that eats insects",4594,1613,40,600,877,18,0.75
24,717,"frog",64434,86,0.86,2,"Amphibian that croaks",4594,1613,40,600,877,18,0.75
24,717,"frog",67179,86,0.86,2,"Green reptile with turned in front feet.",4594,1613,40,600,877,18,0.75
24,717,"frog",70261,86,0.86,2,"The shape of the animal frog laying down",4594,1613,40,600,877,18,0.75
24,717,"frog",64748,86,0.86,2,"animal with webbed feet",4594,1613,40,600,877,18,0.75
24,717,"frog",68877,86,0.86,2,"An amphibian with bowed legs",4594,1613,40,600,877,18,0.75
24,717,"frog",70354,86,0.86,2,"A frog is an amphibian, typically green, which in my area, lives in fresh water.",4594,1613,40,600,877,18,0.75
24,717,"frog",64942,86,0.86,2,"an amphibian with four limbs and lives in the water. Good at jumping",4594,1613,40,600,877,18,0.75
24,717,"frog",68885,86,0.86,2,"an animal with web feet",4594,1613,40,600,877,18,0.75
24,717,"frog",71999,86,0.86,2,"Animal jumping",4594,1613,40,600,877,18,0.75
24,717,"frog",65390,86,0.86,2,"looks green",4594,1613,40,600,877,18,0.75
24,717,"frog",69450,86,0.86,2,"An amphibian",4594,1613,40,600,877,18,0.75
24,717,"frog",72135,86,0.86,2,"a short bodied amphibian",4594,1613,40,600,877,18,0.75
